NAME_2,NAME_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long,geometry,distance_to_river
kota bogor,bogorselatan,59.452,112.115,32.51,368.391,Tree cover,0.348,1.807,38.355,2021,1,0,-6.6447,106.8135,POINT (700483.4164981227 9265160.801727852),41550.66807169772
bogor,tanjungsari,53.705,99.876,29.48,362.528,Tree cover,0.612,5.549,39.275,2021,12,0,-6.6115,107.1406,POINT (736675.57655031 9268688.898746451),16851.47349112464
kota tangerang,jatiuwung,39.899,67.801,40.24,20.101,Built-up,0.272,0.172,37.929,2020,4,0,-6.198,106.5753,POINT (674295.2165993899 9314649.264183594),5792.12393896809
jakarta utara,koja,7.88,13.886,36.38,3.739,Built-up,0.235,0.063,36.038,2020,6,0,-6.1215,106.905,POINT (710816.3415043281 9322990.696673248),15896.192510276469
bogor,cijeruk,83.4,147.199,28.03,717.352,Tree cover,0.725,7.732,38.469,2020,5,0,-6.686,106.7843,POINT (697237.793420237 9260604.858850239),47065.3262642747
depok,cipayung,30.974,87.68,35.14,106.638,Built-up,0.466,0.3,39.909,2023,5,0,-6.4297,106.8028,POINT (699385.3505370402 9288943.719501592),23316.996948223412
jakarta selatan,setiabudi,32.818,55.155,39.14,17.99,Built-up,0.281,0.133,37.91,2020,4,0,-6.2196,106.83,POINT (702476.389662439 9312169.867268426),17320.37319924328
bogor,leuwiliang,24.182,69.77,26.11,556.464,Tree cover,0.782,3.837,34.501,2024,7,0,-6.6402,106.6099,POINT (677970.7707970623 9265736.29904008),53032.8508155092
bekasi,tarumajaya,16.576,47.216,32.1,2.309,Cropland,0.436,0.051,35.495,2022,7,0,-6.1219,106.9975,POINT (721056.6532462637 9322909.249074582),6038.934115831728
tangerang,panongan,21.613,74.835,31.82,36.953,Tree cover,0.577,0.192,38.05,2023,6,0,-6.2789,106.5262,POINT (668835.4818942363 9305719.085884267),16160.953799400004
kota bogor,bogortimur,17.125,21.83,33.62,322.856,Built-up,0.461,1.429,29.053,2023,8,0,-6.6207,106.8264,POINT (701919.7668698041 9267809.954431932),38542.49095066408
bogor,sukaraja,93.161,168.014,34.85,276.337,Tree cover,0.479,1.706,38.22,2022,10,0,-6.5792,106.8408,POINT (703529.265472669 9272394.003395574),33710.49460473071
tangerang,sindangjaya,37.942,59.379,33.22,17.038,Tree cover,0.605,0.132,38.821,2020,3,0,-6.1689,106.4989,POINT (665849.2500795386 9317891.64135947),10508.803055548244
bogor,klapanunggal,51.049,74.35,32.95,203.856,Tree cover,0.69,3.061,40.92,2020,3,0,-6.483,106.9553,POINT (716235.0304553448 9282986.36391989),18955.348694296346
bekasi,cikarangutara,28.285,41.133,36.06,17.902,Built-up,0.311,0.13,38.663,2021,3,0,-6.2754,107.1556,POINT (738491.8676292902 9305861.400529686),4805.7551362756185
depok,cimanggis,36.673,81.795,38.33,74.634,Built-up,0.42,0.278,40.708,2023,4,0,-6.3677,106.8694,POINT (706778.6144930704 9295774.56855103),13361.016117227131
tangerang,jambe,49.494,83.709,31.88,43.823,Tree cover,0.601,0.302,39.303,2020,5,0,-6.3238,106.4992,POINT (665833.6752365063 9300762.645161266),21942.74253129633
kota tangerang,larangan,9.593,19.777,36.62,21.351,Built-up,0.244,0.155,33.944,2024,8,0,-6.2392,106.733,POINT (691733.6095551664 9310038.423665086),14514.746042476598
tangerang,mauk,22.145,59.127,29.64,3.228,Cropland,0.413,0.07,35.935,2024,6,0,-6.058,106.5207,POINT (668296.586346192 9330148.235797534),12691.774259179509
bogor,tajurhalang,79.127,186.834,34.14,128.261,Tree cover,0.627,0.34,38.685,2021,9,0,-6.469,106.7596,POINT (694591.0433916766 9284613.970919622),29751.598382470256
jakarta timur,durensawit,30.907,41.067,36.9,16.888,Built-up,0.292,0.139,37.881,2022,5,0,-6.2325,106.9206,POINT (712499.0470222234 9310707.50193039),7912.717985399608
tangerang,jayanti,39.575,71.445,32.31,18.626,Tree cover,0.478,0.144,38.126,2020,5,0,-6.2068,106.3983,POINT (654704.8523938915 9313731.09135909),22349.199143457023
tangerang,rajeg,1.984,2.517,35.22,8.659,Cropland,0.382,0.105,24.763,2023,9,0,-6.1163,106.5103,POINT (667127.3255612871 9323704.616820605),9663.439969200155
jakarta timur,matraman,9.553,24.461,40.32,12.702,Built-up,0.22,0.132,37.2,2023,12,0,-6.2036,106.8645,POINT (706301.1134282572 9313926.134618105),14792.832206005345
bogor,cijeruk,134.588,318.932,28.52,717.352,Tree cover,0.588,7.732,36.598,2022,9,0,-6.686,106.7843,POINT (697237.793420237 9260604.858850239),47065.3262642747
depok,limo,81.533,127.955,39.0,73.923,Built-up,0.376,0.284,41.19,2022,11,0,-6.3686,106.7808,POINT (696974.8454233266 9295709.678361736),22335.15284599352
bogor,gunungsindur,22.771,50.585,32.12,72.997,Tree cover,0.636,0.372,36.044,2020,7,0,-6.3871,106.6872,POINT (686612.0047075714 9293698.524755452),25880.532012888765
tangerang,sukadiri,31.673,69.054,32.53,4.864,Cropland,0.346,0.063,38.218,2022,12,0,-6.0699,106.559,POINT (672532.4991978505 9328820.273373086),9381.4951165674
tangerang,kosambi,55.124,121.537,31.43,3.034,Built-up,0.139,0.058,38.16,2024,1,0,-6.0809,106.685,POINT (686476.7772956 9327562.023913812),10793.457466331121
kota tangerang,jatiuwung,36.118,63.467,39.79,20.101,Built-up,0.281,0.172,37.059,2022,3,0,-6.198,106.5753,POINT (674295.2165993899 9314649.264183594),5792.12393896809
bekasi,cibitung,14.865,29.903,34.63,14.027,Cropland,0.453,0.106,34.299,2021,7,0,-6.2357,107.1004,POINT (732399.4594658929 9310277.682899047),6824.616386632358
